question_id,sct_stem,question,additional_info,-2,-1,0,1,2,source,Student Raw Count -2,Student Raw Count -1,Student Raw Count 0,Student Raw Count 1,Student Raw Count 2,Student Average Response
1,A 66-year-old male is in hospital for an elective total hip replacement. He is 1 day post-op. During the night the patient complains of shortness of breath of 1 hour in duration. He has a past medical history of COPD and heart failure. His respiratory rate is 24 and O2 saturation is 93% on 10L of O2 via a non-rebreather mask. He has a temperature of 37.5ËC.,If you were thinking of: Ordering a blood culture,And then you find: He has diffuse coarse crackles in both lungs,0.0,0.4,0.8,1.0,0.2,Adelaide SCT,,,,,,
2,A 66-year-old male is in hospital for an elective total hip replacement. He is 1 day post-op. During the night the patient complains of shortness of breath of 1 hour in duration. He has a past medical history of COPD and heart failure. His respiratory rate is 24 and O2 saturation is 93% on 10L of O2 via a non-rebreather mask. He has a temperature of 37.5ËC.,If you were thinking of: Ordering a CTPA,And then you find: CXR demonstrates no abnormalities,0.0,0.0,0.8,0.6,1.0,Adelaide SCT,,,,,,
3,"A 67-year-old female is brought to the emergency department after a witnessed unconscious collapse. She reports that she was walking up a hill when she began to feel dizzy before âblacking outâ and awakening on the ground. Her friend who witnessed the collapse reports observing that she lost consciousness for âa few secondsâ, during which she âmade a few jerking movementsâ.",If you were thinking of: Ordering an EEG,And then you find: Her friend reports the patient went very pale before losing consciousness,0.0,1.0,0.2,0.0,0.0,Adelaide SCT,,,,,,
4,"A 67-year-old female is brought to the emergency department after a witnessed unconscious collapse. She reports that she was walking up a hill when she began to feel dizzy before âblacking outâ and awakening on the ground. Her friend who witnessed the collapse reports observing that she lost consciousness for âa few secondsâ, during which she âmade a few jerking movementsâ.",If you were thinking of: Ordering a Holter monitor,"And then you find: She had a stroke 1 year ago, the workup for which revealed no arrhythmias",0.0,0.1,1.0,0.0,0.0,Adelaide SCT,,,,,,
5,A 25-year-old female presents to the ED with a headache. She describes the headache as poorly localised. The headache has been present for 2 days and has not been alleviated by paracetamol or NSAIDs. She has been having frequent headaches over the last month. She has no significant past medical history. Physical examination reveals a BMI of 32. Her neurological examination and CT head are normal.,If you were thinking of: Recommending sumatriptan,And then you find: She reports that she has severe motion sickness,0.0,0.0,0.0,1.0,0.2,Adelaide SCT,,,,,,
6,A 25-year-old female presents to the ED with a headache. She describes the headache as poorly localised. The headache has been present for 2 days and has not been alleviated by paracetamol or NSAIDs. She has been having frequent headaches over the last month. She has no significant past medical history. Physical examination reveals a BMI of 32. Her neurological examination and CT head are normal.,If you were thinking of: Performing a lumbar puncture,And then you find: She has bilateral papilloedema,1.0,0.0,0.0,0.0,0.0,Adelaide SCT,,,,,,
7,A 67-year-old male is brought to the GP by his family because they are concerned about his memory. They report that he is continuously losing objects and forgetting names and dates. The patient acknowledges that he has had some difficulty with his memory. On physical examination he is noted to have a broad-based unsteady gait.,If you were thinking of: Ordering a head CT,And then you find: He had a fall 3 months ago that required no follow-up because he felt âfineâ after getting up,0.0,0.0,0.0,0.3,1.0,Adelaide SCT,,,,,,
8,A 67-year-old male is brought to the GP by his family because they are concerned about his memory. They report that he is continuously losing objects and forgetting names and dates. The patient acknowledges that he has had some difficulty with his memory. On physical examination he is noted to have a broad-based unsteady gait.,If you were thinking of: Trialling an SSRI,"And then you find: During cognitive testing he refuses to engage, simply stating âI canâtâ",0.0,0.0,0.2,1.0,0.8,Adelaide SCT,,,,,,
9,"A 25-year-old male presents to the GP with pain in his lower back, left knee and left ankle. The pain has been present for the last 2 months and is limiting his ability to perform his daily activities. Paracetamol has not helped to alleviate the pain.",If you were thinking of: Disc prolapse with radiculopathy,And then you find: The pain improves with exertion,1.0,0.3,0.0,0.0,0.0,Adelaide SCT,,,,,,
10,"A 25-year-old male presents to the GP with pain in his lower back, left knee and left ankle. The pain has been present for the last 2 months and is limiting his ability to perform his daily activities. Paracetamol has not helped to alleviate the pain.",If you were thinking of: Reactive arthritis,And then you find: He has scaly pustular lesions on the palms of his hands and soles of his feet,0.0,0.0,0.0,1.0,1.0,Adelaide SCT,,,,,,
11,"A 28-year-old female presents to the emergency department with sharp left-sided chest pain. The pain has been present intermittently for the past 12 hours. She reports the pain is worst when she lies down, particularly on the left-hand side, but resolves when she sits up and leans forwards. She is otherwise asymptomatic.",If you were thinking of: Ordering an ECG,And then you find: Dual heart sounds with a friction rub,0.0,0.0,0.4,0.3,1.0,Adelaide SCT,,,,,,
12,"A 28-year-old female presents to the emergency department with sharp left-sided chest pain. The pain has been present intermittently for the past 12 hours. She reports the pain is worst when she lies down, particularly on the left-hand side, but resolves when she sits up and leans forwards. She is otherwise asymptomatic.",If you were thinking of: Recommending NSAIDs,And then you find: She has a malar rash that worsens with sun exposure,0.0,0.0,0.1,1.0,0.2,Adelaide SCT,,,,,,
13,A 25-year-old female presents to the GP complaining of excessive sweating at nighttime over the past month. During this time she has also been feeling tired and lost 3kg of weight unintentionally. She also reports that she has recently developed a lump in her neck.,If you were thinking of: Ordering a lymph node biopsy,And then you find: She reports generalised pruritus,0.0,0.0,0.4,0.8,1.0,Adelaide SCT,,,,,,
14,A 25-year-old female presents to the GP complaining of excessive sweating at nighttime over the past month. During this time she has also been feeling tired and lost 3kg of weight unintentionally. She also reports that she has recently developed a lump in her neck.,If you were thinking of: Ordering thyroid function tests,And then you find: She has normal reflexes,0.0,0.7,1.0,0.0,0.0,Adelaide SCT,,,,,,
15,A 70-year-old female presents to the GP complaining of worsening constipation over the past 3-6 months. She now only opens her bowels once every 3-4 days whereas previously she had used her bowels daily. She has had no diarrhoea and seen no blood in her stools. She also reports that she has been feeling tired and weak for the past 3-6 months.,If you were thinking of: Ordering a colonoscopy,And then you find: The patient has a unilateral resting tremor and a shuffling gait,0.0,0.7,1.0,0.0,0.0,Adelaide SCT,,,,,,
16,A 70-year-old female presents to the GP complaining of worsening constipation over the past 3-6 months. She now only opens her bowels once every 3-4 days whereas previously she had used her bowels daily. She has had no diarrhoea and seen no blood in her stools. She also reports that she has been feeling tired and weak for the past 3-6 months.,If you were thinking of: Ordering a serum calcium level,And then you find: She complains of polyuria and polydipsia,0.0,0.0,0.0,0.7,1.0,Adelaide SCT,,,,,,
17,A 59-year-old male presents to the GP complaining of shortness of breath on exertion for the past 1-2 years. He reports that it has been gradually getting worse and now he has begun to wake up in the middle of the night feeling short of breath. Physical examination reveals peripheral pitting oedema and bilateral fine inspiratory crackles. The doctor considers possible causes of this presentation.,If you were thinking of: Dilated cardiomyopathy,And then you find: He has consumed 5-6 standard drinks of alcohol per day for the last 10 years.,0.0,0.0,0.0,0.5,1.0,Adelaide SCT,,,,,,
18,A 59-year-old male presents to the GP complaining of shortness of breath on exertion for the past 1-2 years. He reports that it has been gradually getting worse and now he has begun to wake up in the middle of the night feeling short of breath. Physical examination reveals peripheral pitting oedema and bilateral fine inspiratory crackles. The doctor considers possible causes of this presentation.,If you were thinking of: Restrictive cardiomyopathy,And then you find: He has a past medical history of type 2 diabetes mellitus and erectile dysfunction and is currently being investigated for cirrhosis,0.0,0.0,0.2,1.0,0.8,Adelaide SCT,,,,,,
19,A 55-year-old male has a routine health check for work. As a component of this he has an ECG and is found to be in atrial fibrillation. The duration of this atrial fibrillation is unknown. He has a ventricular rate averaging approximately 110 bpm.,If you were thinking of: Commencing metoprolol,And then you find: The patient has a past history of asthma,1.0,0.3,0.0,0.0,0.0,Adelaide SCT,,,,,,
20,A 55-year-old male has a routine health check for work. As a component of this he has an ECG and is found to be in atrial fibrillation. The duration of this atrial fibrillation is unknown. He has a ventricular rate averaging approximately 110 bpm.,If you were thinking of: Commencing rivaroxaban,And then you find: The patient has a past history of chronic kidney disease and is on haemodialysis,1.0,0.1,0.0,0.0,0.0,Adelaide SCT,,,,,,
21,A 60-year-old female presents to the emergency department with weakness. She reports having difficulty arising from a seated position. The patient also reports that her arms get tired when she brushes her hair.,If you were thinking of: Lambert-Eaton myasthenic syndrome,And then you find: She has a 50 pack-year smoking history,0.0,0.0,0.2,1.0,0.8,Adelaide SCT,,,,,,
22,A 60-year-old female presents to the emergency department with weakness. She reports having difficulty arising from a seated position. The patient also reports that her arms get tired when she brushes her hair.,If you were thinking of: Myasthenia gravis,And then you find: She has decreased deep tendon reflexes throughout,1.0,0.7,0.0,0.0,0.0,Adelaide SCT,,,,,,
23,A 25-year-old female presents to the emergency department following a witnessed seizure. She was at work when a colleague observed her become rigid all over before falling to the ground with jerking movements of the arms and legs. She bit the sides of her tongue and had urinary incontinence. Her temperature on arrival in the emergency room was 37.9 C.,If you were thinking of: Ordering a blood culture,And then you find: She recently completed a course of antibiotics for presumed bacterial sinusitis,0.0,0.0,0.6,1.0,0.8,Adelaide SCT,,,,,,
24,A 25-year-old female presents to the emergency department following a witnessed seizure. She was at work when a colleague observed her become rigid all over before falling to the ground with jerking movements of the arms and legs. She bit the sides of her tongue and had urinary incontinence. Her temperature on arrival in the emergency room was 37.9 C.,If you were thinking of: Ordering a head CT,And then you find: She reports that she is pregnant,1.0,0.3,0.4,0.0,0.0,Adelaide SCT,,,,,,
25,A 19-year-old male presents to the emergency department with dark coloured urine. He has noticed this change in the urine over the past 24-48 hours. He has never experienced dark urine like this before.,If you were thinking of: Rhabdomyolysis,And then you find: Urine dipstick indicates +++ blood,0.0,0.0,0.0,1.0,0.7,Adelaide SCT,,,,,,
26,A 19-year-old male presents to the emergency department with dark coloured urine. He has noticed this change in the urine over the past 24-48 hours. He has never experienced dark urine like this before.,If you were thinking of: Post-streptococcal glomerulonephritis,And then you find: He has had a runny nose and a cough for the past 4 days (starting 2 days before the dark urine),0.4,1.0,0.1,0.0,0.0,Adelaide SCT,,,,,,
27,A 58-year-old female presents to the GP for a health check up as she is recovering from an upper respiratory tract infection. She has a past medical history of hypertension and dyslipidaemia. Physical examination reveals a heart murmur. The GP considers possible causes of the heart murmur.,If you were thinking of: Mitral stenosis,And then you find: There is fixed splitting of S2,1.0,0.7,0.0,0.0,0.0,Adelaide SCT,,,,,,
28,A 58-year-old female presents to the GP for a health check up as she is recovering from an upper respiratory tract infection. She has a past medical history of hypertension and dyslipidaemia. Physical examination reveals a heart murmur. The GP considers possible causes of the heart murmur.,If you were thinking of: Aortic sclerosis,And then you find: She has recently been feeling short of breath on exertion,0.8,1.0,0.0,0.6,0.0,Adelaide SCT,,,,,,
29,"A 27-year-old female presents to the GP with a persistent rash. The rash is over the extensor surface of her elbows and has an erythematous scaly appearance. Her previous GP had tried several âcreamsâ, the nature of which she is uncertain. She reports that treatment with these creams did not help the rash.",If you were thinking of: Treating with high-potency topical corticosteroids,And then you find: She uses salbutamol and budesonide inhalers for asthma,0.0,0.0,1.0,0.7,0.0,Adelaide SCT,,,,,,
30,"A 27-year-old female presents to the GP with a persistent rash. The rash is over the extensor surface of her elbows and has an erythematous scaly appearance. Her previous GP had tried several âcreamsâ, the nature of which she is uncertain. She reports that treatment with these creams did not help the rash.",If you were thinking of: Treating with dithranol,And then you find: She has previously had a positive Mantoux test,0.3,0.1,1.0,0.3,0.0,Adelaide SCT,,,,,,
31,A 32-year-old female presents to the GP with weight gain. She has put on 7kg over the past 1-2 months without any change in her diet or exercise. She is noted to have proximal muscle weakness and purple striae on her abdomen.,If you were thinking of: Ordering a low dose dexamethasone suppression test,And then you find: She has recently been diagnosed with rheumatoid arthritis and has recently commenced oral corticosteroids,0.7,1.0,0.0,0.0,0.0,Adelaide SCT,,,,,,
32,A 32-year-old female presents to the GP with weight gain. She has put on 7kg over the past 1-2 months without any change in her diet or exercise. She is noted to have proximal muscle weakness and purple striae on her abdomen.,If you were thinking of: Ordering an abdominal CT,And then you find: Her serum ACTH levels are low,0.0,0.0,0.0,0.5,1.0,Adelaide SCT,,,,,,
33,A 27-year-old female presents to the GP with diarrhoea and weight loss. The diarrhoea has been occurring for the past 1-2 months. She has unintentionally lost 3kg over this time. She has also been feeling very fatigued. She is uncertain whether there has been blood in the bowel movements.,If you were thinking of: Treating with mesalazine and steroids,And then you find: Fecal calprotectin is negative,1.0,0.7,0.0,0.0,0.0,Adelaide SCT,,,,,,
34,A 27-year-old female presents to the GP with diarrhoea and weight loss. The diarrhoea has been occurring for the past 1-2 months. She has unintentionally lost 3kg over this time. She has also been feeling very fatigued. She is uncertain whether there has been blood in the bowel movements.,If you were thinking of: Treating with dietary modification,And then you find: She has a pruritic vesicular rash over her left leg,1.0,1.0,0.3,0.7,1.0,Adelaide SCT,,,,,,
35,A 66-year-old male presents to the GP with fatigue for the past 2-4 weeks. Physical examination reveals pallor of his conjunctivae and palmar creases. He has been a vegetarian for many years.,If you were thinking of: Ordering an endoscopy,And then you find: His father developed a peptic ulcer at the age of 70.,0.0,0.0,1.0,0.2,0.0,Adelaide SCT,,,,,,
36,A 66-year-old male presents to the GP with fatigue for the past 2-4 weeks. Physical examination reveals pallor of his conjunctivae and palmar creases. He has been a vegetarian for many years.,If you were thinking of: Treating with B12 supplementation,And then you find: His MCV is 75 (80-100),1.0,0.7,0.0,0.0,0.0,Adelaide SCT,,,,,,
37,A 59-year-old female presents to the emergency department with fatigue. She is found to have an elevated bilirubin and elevated ALT/AST. Her liver edge is palpable and on percussion the liver is enlarged.,If you were thinking of: Ordering hepatitis B serology,And then you find: She was born in Vietnam,0.0,0.0,0.0,1.0,0.2,Adelaide SCT,,,,,,
38,A 59-year-old female presents to the emergency department with fatigue. She is found to have an elevated bilirubin and elevated ALT/AST. Her liver edge is palpable and on percussion the liver is enlarged.,If you were thinking of: Ordering an abdominal CT,And then you find: She has an elevated AFP,0.0,0.0,0.0,0.1,1.0,Adelaide SCT,,,,,,
39,A 45-year-old male presents to the emergency department with a cough for the past 10 days. He has also felt feverish and generally unwell. He has recently returned from an overseas holiday. His temperature is 38.7ËC.,If you were thinking of: Ordering urinary antigen assessment,And then you find: He has had diarrhoea over the past week,0.0,0.0,0.5,1.0,0.0,Adelaide SCT,,,,,,
40,A 45-year-old male presents to the emergency department with a cough for the past 10 days. He has also felt feverish and generally unwell. He has recently returned from an overseas holiday. His temperature is 38.7ËC.,If you were thinking of: Treating with trimethoprim-sulfamethoxazole,And then you find: He has recently been treated for oral candidiasis,0.0,0.2,1.0,0.8,0.4,Adelaide SCT,,,,,,
41,A 56-year-old male presents to the emergency department with flank pain and haematuria. An abdominal CT reveals a left kidney stone and an incidental finding of a mass in the left adrenal gland.,If you were thinking of: Monitoring adrenal mass with repeat CT,And then you find: He has elevated urinary catecholamine by-products,1.0,0.7,0.0,0.0,0.0,Adelaide SCT,,,,,,
42,A 56-year-old male presents to the emergency department with flank pain and haematuria. An abdominal CT reveals a left kidney stone and an incidental finding of a mass in the left adrenal gland.,If you were thinking of: Planning surgical removal of adrenal mass,And then you find: The lesion has a diameter of 6cm,0.0,0.0,0.0,0.4,1.0,Adelaide SCT,,,,,,
43,A 58-year-old female presents to the emergency department with severe epigastric pain for the past 12 hours. She reports that the pain radiates through to the center of her back. She has also been feeling nauseous and vomited twice. The vomit has contained only food.,If you were thinking of: Ordering serum lipase,And then you find: She is tachycardic and her temperature is 37.3ËC,0.0,0.0,0.5,1.0,0.2,Adelaide SCT,,,,,,
44,A 58-year-old female presents to the emergency department with severe epigastric pain for the past 12 hours. She reports that the pain radiates through to the center of her back. She has also been feeling nauseous and vomited twice. The vomit has contained only food.,If you were thinking of: Ordering an abdominal US,And then you find: She has previously had a cholecystectomy,0.3,1.0,0.3,0.0,0.0,Adelaide SCT,,,,,,
45,"A 66-year-old male presents to the GP with a lump on the side of his face. The lump is just inferior to his left ear and is located on the angle of the mandible. He reports that the lump has been enlarging over the past month. He reports that the lump is painless and does not fluctuate in size with meals. The mass is firm and immobile, seemingly tethered to underlying structures. It is 1.5cm in diameter.",If you were thinking of: Ordering a head CT,And then you find: He has a unilateral left facial nerve palsy,0.0,0.0,0.0,0.4,1.0,Adelaide SCT,,,,,,
46,"A 66-year-old male presents to the GP with a lump on the side of his face. The lump is just inferior to his left ear and is located on the angle of the mandible. He reports that the lump has been enlarging over the past month. He reports that the lump is painless and does not fluctuate in size with meals. The mass is firm and immobile, seemingly tethered to underlying structures. It is 1.5cm in diameter.",If you were thinking of: Performing a superficial parotidectomy,And then you find: Histological examination of the sample from the mass reveals pleomorphic cells with a glandular appearance,0.0,0.0,0.0,0.7,1.0,Adelaide SCT,,,,,,
47,A 57-year-old female presents to the ED with a red right eye. She reports the eye is painful and has been red for the past 2-3 hours. The eye is painful all the time and moving the eye does not alter the pain. She has tried paracetamol and ibuprofen for the pain but this has not alleviated the pain significantly.,If you were thinking of: Using topical atropine to enable a more detailed ophthalmic examination,And then you find: She reports seeing halos of lights around objects with the affected eye,1.0,0.0,0.0,0.0,0.0,Adelaide SCT,,,,,,
48,A 57-year-old female presents to the ED with a red right eye. She reports the eye is painful and has been red for the past 2-3 hours. The eye is painful all the time and moving the eye does not alter the pain. She has tried paracetamol and ibuprofen for the pain but this has not alleviated the pain significantly.,If you were thinking of: Treating with intraocular steroid drops,And then you find: She has pain at the insertion of her right Achilles tendon and left knee for the past 1-2 weeks,0.0,0.0,0.0,1.0,0.7,Adelaide SCT,,,,,,
49,A 49-year-old male presents to the ED with left flank pain for 2 hours. The pain is severe and comes in waves. He has also been nauseous and vomited twice. He has dysuria and gross haematuria.,If you were thinking of: Managing with NSAIDs (and possible opioid analgesia) and an alpha-blocker,And then you find: Abdominal CT reveals a stone of 8mm in diameter in the renal pelvis,1.0,0.3,0.0,0.0,0.0,Adelaide SCT,,,,,,
50,A 49-year-old male presents to the ED with left flank pain for 2 hours. The pain is severe and comes in waves. He has also been nauseous and vomited twice. He has dysuria and gross haematuria.,If you were thinking of: Managing with a ureteric stent,And then you find: The patient has a temperature of 39.2ËC,0.0,0.0,0.0,0.3,1.0,Adelaide SCT,,,,,,
51,"A 64-year-old male presents to ED with sharp central chest pain for the past 45 minutes. The pain started suddenly while he was at rest. The pain also radiates to his back. He has also been feeling nauseous. He has long-term poorly controlled hypertension. An ECG demonstrates ST elevation in leads II, III and aVF.",If you were thinking of: CT angiogram,And then you find: An absent right brachial and radial pulse. Left radial pulse present.,0.0,0.0,0.0,0.4,1.0,Adelaide SCT,,,,,,
52,"A 64-year-old male presents to ED with sharp central chest pain for the past 45 minutes. The pain started suddenly while he was at rest. The pain also radiates to his back. He has also been feeling nauseous. He has long-term poorly controlled hypertension. An ECG demonstrates ST elevation in leads II, III and aVF.",If you were thinking of: Thrombolysis,And then you find: CTA reveals a double lumen of the ascending aorta involving the aortic inlet.,1.0,0.3,0.0,0.0,0.0,Adelaide SCT,,,,,,
53,"The right side is more severely affected than the left. She reports the pain has been worsening for several months and she now experiences the pain at nighttime, causing her to lower her right leg over the side of the bed. She has a past medical history of hypertension and type 2 diabetes mellitus.",If you were thinking of: Ordering CT angiography,And then you find: Her eGFR is 42.,0.0,1.0,0.1,0.0,0.0,Adelaide SCT,,,,,,
54,"The right side is more severely affected than the left. She reports the pain has been worsening for several months and she now experiences the pain at nighttime, causing her to lower her right leg over the side of the bed. She has a past medical history of hypertension and type 2 diabetes mellitus.",If you were thinking of: Vascular surgical intervention,And then you find: Her ankle-brachial index is 1.4 bilaterally,1.0,0.8,0.0,0.5,0.3,Adelaide SCT,,,,,,
55,A 26-year-old male presents to the GP with a pigmented lesion on his forearm that he thinks is suspicious. The lesion has an irregular pigment network and the GP performs and excisional biopsy with a 2mm margin.,If you were thinking of: Further surgical excision with a 1cm margin,And then you find: The pathology report comes back as a dysplastic nevus.,1.0,0.1,0.0,0.0,0.0,Adelaide SCT,,,,,,
56,A 26-year-old male presents to the GP with a pigmented lesion on his forearm that he thinks is suspicious. The lesion has an irregular pigment network and the GP performs and excisional biopsy with a 2mm margin.,If you were thinking of: Further excision with a 2cm margin,And then you find: The pathology report comes back with a malignant melanoma with Breslow thickness of 2mm,0.0,0.0,0.0,0.0,1.0,Adelaide SCT,,,,,,
57,A 49-year-old female presents to the GP with a breast lump and is found to have breast cancer on core biopsy. She is referred to specialists to determine how the cancer should best be treated.,If you were thinking of: Treatment with trastuzumab,"And then you find: The cancer is oestrogen receptor positive, progesterone receptor positive and HER2 receptor negative.",1.0,0.0,0.0,0.0,0.0,Adelaide SCT,,,,,,
58,A 49-year-old female presents to the GP with a breast lump and is found to have breast cancer on core biopsy. She is referred to specialists to determine how the cancer should best be treated.,If you were thinking of: Treatment with letrozole,And then you find: She is premenopausal,1.0,0.1,0.0,0.0,0.0,Adelaide SCT,,,,,,
59,A 35-year-old female presents to the GP with a midline neck mass. She reports that the mass has been enlarging over the past few weeks and is non-tender. The mass moves when the patient is asked to swallow but does not move when she sticks out her tongue.,If you were thinking of: Medullary thyroid cancer,And then you find: She has previously been treated for a pituitary adenoma and her father died of pancreatic cancer.,0.3,0.7,0.7,1.0,0.7,Adelaide SCT,,,,,,
60,A 35-year-old female presents to the GP with a midline neck mass. She reports that the mass has been enlarging over the past few weeks and is non-tender. The mass moves when the patient is asked to swallow but does not move when she sticks out her tongue.,If you were thinking of: Papillary thyroid cancer,And then you find: She reports vocal hoarseness over the past week,1.0,1.0,0.5,0.0,0.0,Adelaide SCT,,,,,,
